OR_NAME	SPECIES	GENE_NAME	SP_CODE	NUMBER	SUFFIX	OR_GROUP	LAMPYRID	KNOWN_LIGAND
TcOr281	Tribolium castaneum	TcasOR281	Tcas	281		5A	no	no
TcOr282	Tribolium castaneum	TcasOR282	Tcas	282		5A	no	no
TcOr283	Tribolium castaneum	TcasOR283	Tcas	283		5A	no	no
TcOr284	Tribolium castaneum	TcasOR284	Tcas	284		5A	no	no
TcOr285	Tribolium castaneum	TcasOR285	Tcas	285		5A	no	no
TcOr286	Tribolium castaneum	TcasOR286	Tcas	286		5A	no	no
TcOr287	Tribolium castaneum	TcasOR287	Tcas	287		5A	no	no
TcOr288	Tribolium castaneum	TcasOR288	Tcas	288		5A	no	no
TcOr289FIX	Tribolium castaneum	TcasOR289FIX	Tcas	289	FIX	5A	no	no
TcOr29	Tribolium castaneum	TcasOR29	Tcas	29		2A	no	no
TcOr290	Tribolium castaneum	TcasOR290	Tcas	290		5A	no	no
TcOr292	Tribolium castaneum	TcasOR292	Tcas	292		5A	no	no
TcOr293	Tribolium castaneum	TcasOR293	Tcas	293		5A	no	no
TcOr294	Tribolium castaneum	TcasOR294	Tcas	294		5A	no	no
TcOr295	Tribolium castaneum	TcasOR295	Tcas	295		5A	no	no
TcOr296	Tribolium castaneum	TcasOR296	Tcas	296		5A	no	no
TcOr297	Tribolium castaneum	TcasOR297	Tcas	297		5A	no	no
TcOr299	Tribolium castaneum	TcasOR299	Tcas	299		5A	no	no
TcOr3	Tribolium castaneum	TcasOR3	Tcas	3		2A	no	no
TcOr30	Tribolium castaneum	TcasOR30	Tcas	30		2A	no	no
TcOr300	Tribolium castaneum	TcasOR300	Tcas	300		5A	no	no
TcOr301	Tribolium castaneum	TcasOR301	Tcas	301		5A	no	no
TcOr302	Tribolium castaneum	TcasOR302	Tcas	302		5A	no	no
TcOr303	Tribolium castaneum	TcasOR303	Tcas	303		5A	no	no
TcOr304	Tribolium castaneum	TcasOR304	Tcas	304		5A	no	no
TcOr305	Tribolium castaneum	TcasOR305	Tcas	305		5A	no	no
TcOr306FIX	Tribolium castaneum	TcasOR306FIX	Tcas	306	FIX	5A	no	no
TcOr307	Tribolium castaneum	TcasOR307	Tcas	307		5A	no	no
TcOr309	Tribolium castaneum	TcasOR309	Tcas	309		5A	no	no
TcOr310	Tribolium castaneum	TcasOR310	Tcas	310		5A	no	no
TcOr311	Tribolium castaneum	TcasOR311	Tcas	311		5A	no	no
TcOr313	Tribolium castaneum	TcasOR313	Tcas	313		5A	no	no
TcOr314	Tribolium castaneum	TcasOR314	Tcas	314		5A	no	no
TcOr315	Tribolium castaneum	TcasOR315	Tcas	315		5A	no	no
TcOr316	Tribolium castaneum	TcasOR316	Tcas	316		5A	no	no
TcOr318	Tribolium castaneum	TcasOR318	Tcas	318		5A	no	no
TcOr319	Tribolium castaneum	TcasOR319	Tcas	319		5A	no	no
TcOr31FIX	Tribolium castaneum	TcasOR31FIX	Tcas	31	FIX	2A	no	no
TcOr32	Tribolium castaneum	TcasOR32	Tcas	32		2A	no	no
TcOr320	Tribolium castaneum	TcasOR320	Tcas	320		5A	no	no
TcOr321	Tribolium castaneum	TcasOR321	Tcas	321		5A	no	no
TcOr322	Tribolium castaneum	TcasOR322	Tcas	322		5A	no	no
TcOr323	Tribolium castaneum	TcasOR323	Tcas	323		5A	no	no
TcOr324	Tribolium castaneum	TcasOR324	Tcas	324		5A	no	no
TcOr325	Tribolium castaneum	TcasOR325	Tcas	325		5A	no	no
TcOr327	Tribolium castaneum	TcasOR327	Tcas	327		5A	no	no
TcOr328	Tribolium castaneum	TcasOR328	Tcas	328		5A	no	no
TcOr329	Tribolium castaneum	TcasOR329	Tcas	329		5A	no	no
TcOr33	Tribolium castaneum	TcasOR33	Tcas	33		2A	no	no
TcOr330	Tribolium castaneum	TcasOR330	Tcas	330		5A	no	no
TcOr331	Tribolium castaneum	TcasOR331	Tcas	331		5A	no	no
TcOr332	Tribolium castaneum	TcasOR332	Tcas	332		5A	no	no
TcOr333	Tribolium castaneum	TcasOR333	Tcas	333		5A	no	no
TcOr334	Tribolium castaneum	TcasOR334	Tcas	334		5A	no	no
TcOr335	Tribolium castaneum	TcasOR335	Tcas	335		5A	no	no
TcOr339	Tribolium castaneum	TcasOR339	Tcas	339		5A	no	no
TcOr34	Tribolium castaneum	TcasOR34	Tcas	34		2A	no	no
TcOr340	Tribolium castaneum	TcasOR340	Tcas	340		5A	no	no
TcOr35	Tribolium castaneum	TcasOR35	Tcas	35		2A	no	no
TcOr36	Tribolium castaneum	TcasOR36	Tcas	36		2A	no	no
TcOr37	Tribolium castaneum	TcasOR37	Tcas	37		2A	no	no
TcOr38	Tribolium castaneum	TcasOR38	Tcas	38		2A	no	no
TcOr39	Tribolium castaneum	TcasOR39	Tcas	39		2A	no	no
TcOr40	Tribolium castaneum	TcasOR40	Tcas	40		2A	no	no
TcOr41	Tribolium castaneum	TcasOR41	Tcas	41		2A	no	no
TcOr42	Tribolium castaneum	TcasOR42	Tcas	42		2A	no	no
TcOr43	Tribolium castaneum	TcasOR43	Tcas	43		2A	no	no
TcOr44	Tribolium castaneum	TcasOR44	Tcas	44		2A	no	no
TcOr45	Tribolium castaneum	TcasOR45	Tcas	45		2A	no	no
TcOr46	Tribolium castaneum	TcasOR46	Tcas	46		2B	no	no
TcOr47	Tribolium castaneum	TcasOR47	Tcas	47		2A	no	no
TcOr48	Tribolium castaneum	TcasOR48	Tcas	48		2A	no	no
TcOr49	Tribolium castaneum	TcasOR49	Tcas	49		2A	no	no
TcOr50	Tribolium castaneum	TcasOR50	Tcas	50		2A	no	no
TcOr51	Tribolium castaneum	TcasOR51	Tcas	51		2A	no	no
TcOr52	Tribolium castaneum	TcasOR52	Tcas	52		2A	no	no
TcOr53	Tribolium castaneum	TcasOR53	Tcas	53		2A	no	no
TcOr54	Tribolium castaneum	TcasOR54	Tcas	54		2A	no	no
TcOr55	Tribolium castaneum	TcasOR55	Tcas	55		2A	no	no
TcOr56	Tribolium castaneum	TcasOR56	Tcas	56		2A	no	no
TcOr57	Tribolium castaneum	TcasOR57	Tcas	57		2A	no	no
TcOr58	Tribolium castaneum	TcasOR58	Tcas	58		2A	no	no
TcOr59	Tribolium castaneum	TcasOR59	Tcas	59		2A	no	no
TcOr6	Tribolium castaneum	TcasOR6	Tcas	6		2A	no	no
TcOr60	Tribolium castaneum	TcasOR60	Tcas	60		2A	no	no
TcOr61	Tribolium castaneum	TcasOR61	Tcas	61		2A	no	no
TcOr63	Tribolium castaneum	TcasOR63	Tcas	63		2A	no	no
TcOr64	Tribolium castaneum	TcasOR64	Tcas	64		2B	no	no
TcOr65	Tribolium castaneum	TcasOR65	Tcas	65		2B	no	no
TcOr66	Tribolium castaneum	TcasOR66	Tcas	66		2B	no	no
TcOr67	Tribolium castaneum	TcasOR67	Tcas	67		2A	no	no
TcOr68	Tribolium castaneum	TcasOR68	Tcas	68		2A	no	no
TcOr69	Tribolium castaneum	TcasOR69	Tcas	69		2A	no	no
TcOr7	Tribolium castaneum	TcasOR7	Tcas	7		2A	no	no
TcOr70	Tribolium castaneum	TcasOR70	Tcas	70		2A	no	no
TcOr72	Tribolium castaneum	TcasasOR72	Tcas	72		6	no	no
TcOr73FIX	Tribolium castaneum	TcasOR73FIX	Tcas	73	FIX	1	no	no
TcOr76	Tribolium castaneum	TcasOR76	Tcas	76		1	no	no
TcOr77	Tribolium castaneum	TcasOR77	Tcas	77		1	no	no
TcOr78	Tribolium castaneum	TcasOR78	Tcas	78		1	no	no
TcOr79	Tribolium castaneum	TcasOR79	Tcas	79		1	no	no
TcOr80	Tribolium castaneum	TcasOR80	Tcas	80		1	no	no
TcOr84	Tribolium castaneum	TcasOR84	Tcas	84		1	no	no
TcOr86	Tribolium castaneum	TcasOR86	Tcas	86		1	no	no
TcOr87	Tribolium castaneum	TcasOR87	Tcas	87		1	no	no
TcOr88	Tribolium castaneum	TcasOR88	Tcas	88		1	no	no
TcOr89	Tribolium castaneum	TcasOR89	Tcas	89		1	no	no
TcOr9	Tribolium castaneum	TcasOR9	Tcas	9		2A	no	no
TcOr90	Tribolium castaneum	TcasOR90	Tcas	90		1	no	no
TcOr92	Tribolium castaneum	TcasOR92	Tcas	92		1	no	no
TcOr93	Tribolium castaneum	TcasOR93	Tcas	93		1	no	no
TcOr94	Tribolium castaneum	TcasOR94	Tcas	94		1	no	no
TcOr95FIX	Tribolium castaneum	TcasOR95FIX	Tcas	95	FIX	1	no	no
TcOr97	Tribolium castaneum	TcasOR97	Tcas	97		1	no	no
TcOr98FIX	Tribolium castaneum	TcasOR98FIX	Tcas	98	FIX	1	no	no
